,model,dataset,preprocessing,augmentation,accuracy,accuracy,weighted_precision,weighted_precision,weighted_recall,weighted_recall,weighted_f1,weighted_f1
,,,,,mean,std,mean,std,mean,std,mean,std
0,all-mpnet-base-v2,tweeteval,True,False,0.962,0.001,0.962,0.001,0.962,0.001,0.962,0.001
1,roberta-base,tweeteval,True,False,0.961,0.002,0.961,0.002,0.961,0.002,0.961,0.002
2,Twitter_twhin-bert-base,tweeteval,True,False,0.961,0.001,0.961,0.001,0.961,0.001,0.961,0.001
3,roberta-base,kaggle,True,False,0.865,0.001,0.868,0.002,0.865,0.001,0.864,0.002
4,all-mpnet-base-v2,kaggle,True,False,0.865,0.004,0.868,0.008,0.865,0.004,0.864,0.004
5,Twitter_twhin-bert-base,kaggle,True,False,0.865,0.003,0.869,0.003,0.865,0.003,0.862,0.003
6,roberta-base,ieee,True,False,0.836,0.011,0.843,0.012,0.836,0.011,0.837,0.011
7,all-mpnet-base-v2,ieee,True,False,0.832,0.009,0.839,0.009,0.832,0.009,0.833,0.008
8,Twitter_twhin-bert-base,ieee,True,False,0.83,0.012,0.837,0.01,0.83,0.012,0.831,0.011
