,model,dataset,preprocessing,augmentation,accuracy,accuracy,weighted_precision,weighted_precision,weighted_recall,weighted_recall,weighted_f1,weighted_f1
,,,,,mean,std,mean,std,mean,std,mean,std
0,Twitter_twhin-bert-base,tweeteval,False,False,0.972,0.001,0.972,0.001,0.972,0.001,0.972,0.001
1,Twitter_twhin-bert-base,tweeteval,False,True,0.972,0.001,0.971,0.001,0.972,0.001,0.971,0.001
2,vinai_bertweet-base,tweeteval,False,True,0.971,0.001,0.971,0.001,0.971,0.001,0.971,0.001
3,vinai_bertweet-base,tweeteval,False,False,0.971,0.001,0.97,0.001,0.971,0.001,0.97,0.001
4,sarkerlab_SocBERT-base,tweeteval,False,True,0.967,0.001,0.967,0.001,0.967,0.001,0.967,0.001
5,sarkerlab_SocBERT-base,tweeteval,False,False,0.966,0.001,0.966,0.001,0.966,0.001,0.966,0.001
6,vinai_bertweet-base,tweeteval,True,False,0.948,0.001,0.948,0.001,0.948,0.001,0.948,0.001
7,vinai_bertweet-base,tweeteval,True,True,0.948,0.002,0.948,0.002,0.948,0.002,0.948,0.002
8,Twitter_twhin-bert-base,tweeteval,True,True,0.945,0.002,0.945,0.002,0.945,0.002,0.945,0.002
9,Twitter_twhin-bert-base,tweeteval,True,False,0.944,0.002,0.944,0.002,0.944,0.002,0.944,0.002
10,sarkerlab_SocBERT-base,tweeteval,True,True,0.94,0.002,0.94,0.002,0.94,0.002,0.94,0.002
11,sarkerlab_SocBERT-base,tweeteval,True,False,0.94,0.002,0.94,0.002,0.94,0.002,0.94,0.002
12,vinai_bertweet-base,kaggle,True,False,0.877,0.004,0.876,0.004,0.877,0.004,0.876,0.004
13,Twitter_twhin-bert-base,kaggle,False,False,0.877,0.002,0.877,0.002,0.877,0.002,0.876,0.002
14,vinai_bertweet-base,kaggle,False,False,0.877,0.001,0.876,0.001,0.877,0.001,0.876,0.001
15,Twitter_twhin-bert-base,kaggle,False,True,0.877,0.002,0.877,0.002,0.877,0.002,0.875,0.002
16,vinai_bertweet-base,kaggle,False,True,0.876,0.002,0.875,0.003,0.876,0.002,0.875,0.002
17,vinai_bertweet-base,kaggle,True,True,0.872,0.002,0.872,0.002,0.872,0.002,0.872,0.002
18,Twitter_twhin-bert-base,kaggle,True,False,0.871,0.003,0.871,0.004,0.871,0.003,0.871,0.003
19,Twitter_twhin-bert-base,kaggle,True,True,0.87,0.002,0.87,0.002,0.87,0.002,0.87,0.002
20,sarkerlab_SocBERT-base,kaggle,True,False,0.868,0.003,0.868,0.004,0.868,0.003,0.868,0.003
21,sarkerlab_SocBERT-base,kaggle,True,True,0.866,0.003,0.867,0.003,0.866,0.003,0.866,0.003
22,sarkerlab_SocBERT-base,kaggle,False,False,0.853,0.002,0.853,0.002,0.853,0.002,0.851,0.002
23,sarkerlab_SocBERT-base,kaggle,False,True,0.852,0.002,0.852,0.002,0.852,0.002,0.851,0.002
24,Twitter_twhin-bert-base,ieee,True,True,0.85,0.011,0.851,0.012,0.85,0.011,0.85,0.011
25,vinai_bertweet-base,ieee,False,True,0.849,0.011,0.85,0.01,0.849,0.011,0.849,0.01
26,Twitter_twhin-bert-base,ieee,True,False,0.848,0.011,0.851,0.01,0.848,0.011,0.848,0.011
27,sarkerlab_SocBERT-base,ieee,True,False,0.847,0.008,0.851,0.006,0.847,0.008,0.847,0.007
28,Twitter_twhin-bert-base,ieee,False,True,0.846,0.009,0.848,0.008,0.846,0.009,0.846,0.008
29,vinai_bertweet-base,ieee,False,False,0.846,0.01,0.846,0.009,0.846,0.01,0.845,0.01
30,sarkerlab_SocBERT-base,ieee,True,True,0.845,0.014,0.848,0.015,0.845,0.014,0.844,0.014
31,Twitter_twhin-bert-base,ieee,False,False,0.841,0.008,0.843,0.007,0.841,0.008,0.841,0.008
32,vinai_bertweet-base,ieee,True,False,0.841,0.016,0.842,0.017,0.841,0.016,0.84,0.016
33,vinai_bertweet-base,ieee,True,True,0.833,0.012,0.834,0.011,0.833,0.012,0.832,0.012
34,sarkerlab_SocBERT-base,ieee,False,True,0.827,0.009,0.83,0.007,0.827,0.009,0.828,0.008
35,sarkerlab_SocBERT-base,ieee,False,False,0.824,0.007,0.827,0.007,0.824,0.007,0.824,0.007
