,model,dataset,preprocessing,augmentation,accuracy,accuracy,weighted_precision,weighted_precision,weighted_recall,weighted_recall,weighted_f1,weighted_f1
,,,,,mean,std,mean,std,mean,std,mean,std
0,roberta-base,tweeteval,False,True,0.976,0.001,0.976,0.001,0.976,0.001,0.976,0.001
1,roberta-base,tweeteval,False,False,0.975,0.001,0.975,0.001,0.975,0.001,0.975,0.001
2,gpt2,tweeteval,False,True,0.972,0.002,0.972,0.002,0.972,0.002,0.972,0.002
3,bert-base-uncased,tweeteval,False,True,0.971,0.001,0.971,0.001,0.971,0.001,0.971,0.001
4,bert-base-uncased,tweeteval,False,False,0.971,0.001,0.971,0.001,0.971,0.001,0.971,0.001
5,gpt2,tweeteval,False,False,0.97,0.002,0.97,0.002,0.97,0.002,0.97,0.002
6,distilbert-base-uncased,tweeteval,False,True,0.969,0.001,0.969,0.001,0.969,0.001,0.969,0.001
7,distilbert-base-uncased,tweeteval,False,False,0.969,0.001,0.969,0.001,0.969,0.001,0.969,0.001
8,xlnet-base-cased,tweeteval,False,False,0.969,0.002,0.969,0.002,0.969,0.002,0.969,0.002
9,xlnet-base-cased,tweeteval,False,True,0.969,0.002,0.969,0.002,0.969,0.002,0.969,0.002
10,bert-base-uncased,tweeteval,True,False,0.943,0.002,0.943,0.002,0.943,0.002,0.943,0.002
11,bert-base-uncased,tweeteval,True,True,0.942,0.002,0.942,0.002,0.942,0.002,0.942,0.002
12,distilbert-base-uncased,tweeteval,True,True,0.942,0.002,0.942,0.002,0.942,0.002,0.942,0.002
13,roberta-base,tweeteval,True,False,0.941,0.002,0.941,0.002,0.941,0.002,0.94,0.002
14,distilbert-base-uncased,tweeteval,True,False,0.94,0.003,0.94,0.003,0.94,0.003,0.94,0.003
15,roberta-base,tweeteval,True,True,0.94,0.003,0.939,0.003,0.94,0.003,0.94,0.003
16,xlnet-base-cased,tweeteval,True,True,0.939,0.002,0.939,0.002,0.939,0.002,0.939,0.002
17,xlnet-base-cased,tweeteval,True,False,0.939,0.003,0.939,0.003,0.939,0.003,0.938,0.003
18,gpt2,tweeteval,True,True,0.93,0.003,0.932,0.003,0.93,0.003,0.931,0.003
19,gpt2,tweeteval,True,False,0.929,0.003,0.93,0.003,0.929,0.003,0.93,0.003
20,roberta-base,kaggle,False,False,0.872,0.002,0.871,0.002,0.872,0.002,0.87,0.002
21,roberta-base,kaggle,True,False,0.871,0.003,0.871,0.003,0.871,0.003,0.871,0.003
22,roberta-base,kaggle,False,True,0.871,0.001,0.87,0.002,0.871,0.001,0.87,0.001
23,bert-base-uncased,kaggle,True,False,0.87,0.002,0.87,0.002,0.87,0.002,0.87,0.002
24,roberta-base,kaggle,True,True,0.869,0.002,0.869,0.003,0.869,0.002,0.869,0.003
25,distilbert-base-uncased,kaggle,True,False,0.869,0.002,0.869,0.002,0.869,0.002,0.869,0.002
26,bert-base-uncased,kaggle,True,True,0.867,0.003,0.867,0.003,0.867,0.003,0.867,0.003
27,xlnet-base-cased,kaggle,True,False,0.867,0.004,0.864,0.004,0.867,0.004,0.865,0.004
28,distilbert-base-uncased,kaggle,True,True,0.867,0.003,0.867,0.003,0.867,0.003,0.867,0.003
29,xlnet-base-cased,kaggle,True,True,0.865,0.004,0.863,0.003,0.865,0.004,0.864,0.004
30,xlnet-base-cased,kaggle,False,False,0.865,0.003,0.864,0.003,0.865,0.003,0.863,0.003
31,xlnet-base-cased,kaggle,False,True,0.865,0.003,0.863,0.003,0.865,0.003,0.863,0.003
32,gpt2,kaggle,True,False,0.865,0.003,0.863,0.003,0.865,0.003,0.863,0.003
33,gpt2,kaggle,False,True,0.864,0.004,0.863,0.004,0.864,0.004,0.862,0.004
34,gpt2,kaggle,True,True,0.864,0.003,0.865,0.003,0.864,0.003,0.863,0.003
35,gpt2,kaggle,False,False,0.863,0.003,0.861,0.003,0.863,0.003,0.861,0.003
36,roberta-base,ieee,False,False,0.86,0.012,0.861,0.011,0.86,0.012,0.86,0.012
37,distilbert-base-uncased,kaggle,False,False,0.86,0.003,0.859,0.003,0.86,0.003,0.859,0.003
