,model,dataset,preprocessing,augmentation,accuracy,accuracy,weighted_precision,weighted_precision,weighted_recall,weighted_recall,weighted_f1,weighted_f1
,,,,,mean,std,mean,std,mean,std,mean,std
0,Twitter_twhin-bert-base,tweeteval,True,False,0.97,0.001,0.97,0.001,0.97,0.001,0.97,0.001
1,all-mpnet-base-v2,tweeteval,True,False,0.969,0.001,0.969,0.001,0.969,0.001,0.969,0.001
2,roberta-base,tweeteval,True,False,0.969,0.001,0.969,0.001,0.969,0.001,0.969,0.001
3,roberta-base,kaggle,True,False,0.87,0.003,0.872,0.004,0.87,0.003,0.869,0.003
4,Twitter_twhin-bert-base,kaggle,True,False,0.868,0.003,0.868,0.004,0.868,0.003,0.866,0.004
5,all-mpnet-base-v2,kaggle,True,False,0.866,0.002,0.869,0.004,0.866,0.002,0.866,0.003
6,roberta-base,ieee,True,False,0.827,0.01,0.838,0.009,0.827,0.01,0.829,0.01
7,all-mpnet-base-v2,ieee,True,False,0.825,0.015,0.834,0.014,0.825,0.015,0.826,0.014
8,Twitter_twhin-bert-base,ieee,True,False,0.818,0.017,0.831,0.01,0.818,0.017,0.82,0.016
