,model,dataset,preprocessing,augmentation,accuracy,accuracy,weighted_precision,weighted_precision,weighted_recall,weighted_recall,weighted_f1,weighted_f1
,,,,,mean,std,mean,std,mean,std,mean,std
0,roberta-base,tweeteval,False,False,0.976,0.002,0.976,0.002,0.976,0.002,0.976,0.002
1,all-distilroberta-v1,tweeteval,False,False,0.975,0.001,0.975,0.001,0.975,0.001,0.975,0.001
2,all-mpnet-base-v2,tweeteval,False,False,0.972,0.0,0.972,0.0,0.972,0.0,0.972,0.0
3,Twitter_twhin-bert-base,tweeteval,False,False,0.972,0.001,0.972,0.001,0.972,0.001,0.972,0.001
4,vinai_bertweet-base,tweeteval,False,False,0.972,0.001,0.972,0.001,0.972,0.001,0.972,0.001
5,bert-base-cased,tweeteval,False,False,0.971,0.001,0.971,0.001,0.971,0.001,0.971,0.001
6,distilbert-base-cased,tweeteval,False,False,0.969,0.001,0.969,0.001,0.969,0.001,0.969,0.001
7,albert_albert-base-v2,tweeteval,False,False,0.968,0.001,0.968,0.001,0.968,0.001,0.968,0.001
8,Twitter_twhin-bert-base,kaggle,False,False,0.961,0.001,0.961,0.001,0.961,0.001,0.961,0.001
9,all-distilroberta-v1,kaggle,False,False,0.959,0.001,0.959,0.001,0.959,0.001,0.959,0.001
10,vinai_bertweet-base,kaggle,False,False,0.958,0.001,0.959,0.001,0.958,0.001,0.958,0.001
11,roberta-base,kaggle,False,False,0.958,0.001,0.958,0.001,0.958,0.001,0.958,0.001
12,bert-base-cased,kaggle,False,False,0.957,0.001,0.958,0.001,0.957,0.001,0.957,0.001
13,all-mpnet-base-v2,kaggle,False,False,0.956,0.001,0.957,0.001,0.956,0.001,0.956,0.001
14,albert_albert-base-v2,kaggle,False,False,0.954,0.002,0.954,0.002,0.954,0.002,0.954,0.002
15,distilbert-base-cased,kaggle,False,False,0.954,0.002,0.954,0.002,0.954,0.002,0.954,0.002
16,Twitter_twhin-bert-base,ieee,False,False,0.844,0.013,0.849,0.011,0.844,0.013,0.845,0.012
17,vinai_bertweet-base,ieee,False,False,0.841,0.01,0.845,0.008,0.841,0.01,0.841,0.01
18,all-mpnet-base-v2,ieee,False,False,0.838,0.012,0.844,0.008,0.838,0.012,0.839,0.011
19,all-distilroberta-v1,ieee,False,False,0.838,0.01,0.844,0.007,0.838,0.01,0.839,0.009
20,roberta-base,ieee,False,False,0.835,0.014,0.842,0.012,0.835,0.014,0.837,0.013
21,bert-base-cased,ieee,False,False,0.824,0.009,0.833,0.007,0.824,0.009,0.827,0.008
22,albert_albert-base-v2,ieee,False,False,0.819,0.014,0.83,0.013,0.819,0.014,0.821,0.013
23,distilbert-base-cased,ieee,False,False,0.814,0.008,0.822,0.01,0.814,0.008,0.816,0.008
