,model,dataset,preprocessing,augmentation,accuracy,accuracy,weighted_precision,weighted_precision,weighted_recall,weighted_recall,weighted_f1,weighted_f1
,,,,,mean,std,mean,std,mean,std,mean,std
0,all-mpnet-base-v2,tweeteval,True,False,0.963,0.001,0.963,0.001,0.963,0.001,0.963,0.001
1,Twitter_twhin-bert-base,tweeteval,True,False,0.962,0.001,0.962,0.001,0.962,0.001,0.962,0.001
2,roberta-base,tweeteval,True,False,0.962,0.001,0.961,0.001,0.962,0.001,0.961,0.001
3,roberta-base,kaggle,True,False,0.867,0.003,0.871,0.005,0.867,0.003,0.867,0.003
4,Twitter_twhin-bert-base,kaggle,True,False,0.867,0.002,0.868,0.002,0.867,0.002,0.865,0.003
5,all-mpnet-base-v2,kaggle,True,False,0.865,0.001,0.867,0.002,0.865,0.001,0.865,0.002
6,all-mpnet-base-v2,ieee,True,False,0.84,0.006,0.845,0.006,0.84,0.006,0.841,0.006
7,Twitter_twhin-bert-base,ieee,True,False,0.824,0.012,0.831,0.009,0.824,0.012,0.825,0.011
8,roberta-base,ieee,True,False,0.817,0.01,0.826,0.013,0.817,0.01,0.818,0.011
